rank,fips,county,diag_diabetes_pct,diag_diabetes_pct_low,diag_diabetes_pct_high,TotalPop18plus,obesity_pct,inactive_pct,pct_novehicle_low_access,pct_lowincome_low_access,pct_low_food_access,border
223,48379,Rains,10.3,8.7,12.0,"10,414",35.6,25.3,1.733552575,0.0,0.0,0
224,48059,Callahan,10.2,8.7,11.9,"11,235",36.0,24.8,2.992281675,14.46343803,37.86876678,0
225,48149,Fayette,10.1,8.6,11.7,"20,303",34.4,24.3,1.625371933,7.906385899,23.61672974,0
226,48299,Llano,10.1,8.6,11.6,"19,317",36.7,24.5,2.765309095,15.96240234,36.35306931,0
227,48381,Randall,10.0,8.5,11.4,"113,132",35.4,23.2,0.616747975,3.378084421,13.56987572,0
228,48009,Archer,9.9,8.9,10.8,"6,979",34.7,24.7,1.359506369,4.866219044,16.31709099,0
229,48319,Mason,9.9,8.8,10.9,"3,203",34.3,23.9,1.170796871,2.844255447,21.18437386,0
230,48159,Franklin,9.9,8.5,11.5,"8,409",35.5,23.8,2.562465906,17.97464371,53.8825264,0
231,48333,Mills,9.9,8.3,11.5,"3,625",33.6,24.3,0.740787268,9.530774117,24.67764664,0
232,48173,Glasscock,9.9,8.7,11.0,853,33.6,22.7,0.725195765,22.54210663,98.21762085,0
233,48077,Clay,9.8,8.3,11.3,"8,542",34.8,24.2,2.990008354,17.58923721,55.0039711,0
234,48425,Somervell,9.8,8.4,11.4,"7,756",33.9,24.2,0.833530784,0.0,0.0,0
235,48211,Hemphill,9.7,8.3,11.2,"2,336",33.2,24.3,0.40300557,1.979409933,10.59745598,0
236,48121,Denton,9.6,8.3,11.1,"775,771",33.2,21.2,0.716241896,5.783359528,27.39209747,0
237,48491,Williamson,9.5,8.2,10.9,"532,125",32.1,22.4,1.264954805,10.22053051,49.09511948,0
238,48417,Shackelford,9.5,8.1,11.0,"2,477",33.8,22.5,2.134432077,5.905126095,14.384655,0
239,48453,Travis,9.5,8.3,10.8,"1,071,849",30.1,20.3,1.185184121,8.192790031,31.6507988,0
240,48171,Gillespie,9.5,8.1,11.1,"22,412",33.7,23.1,1.465122938,2.946403027,10.72372818,0
241,48431,Sterling,9.4,8.0,11.0,980,33.2,23.2,2.947368383,47.2560997,100.0,0
242,48011,Armstrong,9.4,8.0,11.0,"1,422",33.3,22.8,0.555720687,19.80428886,99.74791718,0
243,48065,Carson,9.3,8.0,10.8,"4,511",33.8,22.6,0.993213415,4.98446846,17.64510918,0
244,48263,Kent,9.3,7.9,10.8,557,33.1,22.4,4.278074741,36.14599991,97.19525909,0
245,48033,Borden,9.3,8.4,10.4,455,33.0,22.5,0.0,15.00742912,100.0,0
246,48091,Comal,9.2,8.0,10.7,"151,068",34.5,20.8,2.19168663,5.129034996,15.99870205,0
247,48367,Parker,9.2,7.8,10.7,"131,016",35.0,22.6,2.026274204,6.247348785,22.82784081,0
248,48031,Blanco,9.2,7.8,10.7,"10,896",34.3,22.0,1.556661725,1.015934587,4.620966911,0
249,48221,Hood,9.2,7.8,10.7,"53,986",33.4,22.7,1.610983014,5.841619968,24.00236893,0
250,48085,Collin,9.1,7.8,10.5,"903,972",31.6,19.9,0.57290715,3.5691185,22.26993561,0
251,48393,Roberts,8.9,7.6,10.3,631,33.8,21.9,1.436781645,11.65402031,90.76309204,0
252,48259,Kendall,8.8,7.6,10.3,"39,429",34.1,19.9,0.974787652,0.973110914,6.863818645,0
253,48397,Rockwall,8.7,7.4,10.1,"96,606",34.4,20.1,1.000758648,3.062453508,22.33760834,0
