rank,fips,county,diag_diabetes_pct,diag_diabetes_pct_low,diag_diabetes_pct_high,TotalPop18plus,obesity_pct,inactive_pct,pct_novehicle_low_access,pct_lowincome_low_access,pct_low_food_access,border
157,48023,Baylor,11.6,10.0,13.6,"2,691",36.5,28.6,0.517226636,1.785033345,7.440770149,0
158,48187,Guadalupe,11.6,10.2,13.3,"143,773",34.4,25.4,2.609767914,14.3521328,53.30007172,0
159,48363,Palo Pinto,11.6,9.9,13.3,"22,840",39.4,29.2,2.428147316,20.47014427,58.49837875,0
160,48485,Wichita,11.6,10.0,13.4,"100,315",36.2,27.0,1.715143442,11.07210732,33.65149307,0
161,48089,Colorado,11.6,9.9,13.2,"16,091",36.7,28.1,0.937575459,6.700291634,20.62091827,0
162,48317,Martin,11.5,10.6,12.5,"3,571",35.6,29.3,1.741430163,6.876299858,21.42398834,0
163,48099,Coryell,11.5,10.0,13.2,"65,792",38.0,27.8,1.381543756,20.02835464,50.40167999,0
164,48257,Kaufman,11.5,9.9,13.2,"132,239",37.6,27.6,2.038490295,6.906116962,15.60565376,0
165,48217,Hill,11.5,9.9,13.2,"29,280",37.0,29.0,2.333451748,2.713098288,6.342985153,0
166,48433,Stonewall,11.5,10.5,12.6,955,36.7,29.1,6.062784672,4.948864937,14.86655045,0
